CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.01;Receita de Venda de Bens e/ou Serviços;2802675.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.01;Receita de Venda de Bens e/ou Serviços;1825822.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-2345533.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-1828397.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.03;Resultado Bruto;457142.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.03;Resultado Bruto;-2575.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.04;Despesas/Receitas Operacionais;-298343.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.04;Despesas/Receitas Operacionais;-243366.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.04.01;Despesas com Vendas;-116763.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.04.01;Despesas com Vendas;-90853.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.04.02;Despesas Gerais e Administrativas;-181580.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.04.02;Despesas Gerais e Administrativas;-68338.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.04.04;Outras Receitas Operacionais;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.04.04;Outras Receitas Operacionais;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.04.05;Outras Despesas Operacionais;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.04.05;Outras Despesas Operacionais;-84175.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.04.06;Resultado de Equivalência Patrimonial;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.04.06;Resultado de Equivalência Patrimonial;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;158799.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;-245941.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.06;Resultado Financeiro;-6559516.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.06;Resultado Financeiro;-2540685.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.06.01;Receitas Financeiras;12887.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.06.01;Receitas Financeiras;25349.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.06.01.01;Receitas Financeiras;12887.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.06.01.01;Receitas Financeiras;25349.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.06.01.02;Resultado de transações com partes relacionadas;0.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.06.01.02;Resultado de transações com partes relacionadas;0.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.06.01.03;Instrumentos financeiros derivativos;0.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.06.01.03;Instrumentos financeiros derivativos;0.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.06.02;Despesas Financeiras;-6572403.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.06.02;Despesas Financeiras;-2566034.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.06.02.01;Despesas Financeiras;-438470.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.06.02.01;Despesas Financeiras;-915152.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.06.02.02;Instrumentos financeiros derivativos;-1281616.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.06.02.02;Instrumentos financeiros derivativos;78172.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.06.02.03;Variações monetárias e cambiais, líquida;-4233800.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.06.02.03;Variações monetárias e cambiais, líquida;-1727760.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.06.02.04;Resultado de transações com partes relacionadas;-618517.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.06.02.04;Resultado de transações com partes relacionadas;-1294.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;-6400717.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;-2786626.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;250090.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.08.01;Corrente;-13016.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.08.01;Corrente;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.08.02;Diferido;263106.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.08.02;Diferido;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.09;Resultado Líquido das Operações Continuadas;-6150627.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.09;Resultado Líquido das Operações Continuadas;-2786626.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.10;Resultado Líquido de Operações Descontinuadas;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.10;Resultado Líquido de Operações Descontinuadas;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.11;Lucro/Prejuízo Consolidado do Período;-6150627.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.11;Lucro/Prejuízo Consolidado do Período;-2786626.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.11.01;Atribuído a Sócios da Empresa Controladora;-6150627.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.11.01;Atribuído a Sócios da Empresa Controladora;-2786626.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.11.02;Atribuído a Sócios Não Controladores;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.11.02;Atribuído a Sócios Não Controladores;0.0;S
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.99;Lucro por Ação - (Reais / Ação);0.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.99;Lucro por Ação - (Reais / Ação);0.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.99.01;Lucro Básico por Ação;0.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.99.01;Lucro Básico por Ação;0.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.99.01.01;ON;-0.24;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.99.01.01;ON;-0.11;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.99.01.02;PN;-17.98;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.99.01.02;PN;-8.08;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.99.02;Lucro Diluído por Ação;0.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.99.02;Lucro Diluído por Ação;0.0;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.99.02.01;ON;-0.24;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.99.02.01;ON;-0.11;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;3.99.02.02;PN;-17.98;N
09.305.994/0001-29;2021-03-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;3.99.02.02;PN;-8.08;N
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-06-30;3.01;Receita de Venda de Bens e/ou Serviços;3204267.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-04-01;2020-06-30;3.01;Receita de Venda de Bens e/ou Serviços;401592.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-06-30;3.01;Receita de Venda de Bens e/ou Serviços;3528188.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2021-06-30;3.01;Receita de Venda de Bens e/ou Serviços;1702366.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-06-30;3.02;Custo dos Bens e/ou Serviços Vendidos;-3456419.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-04-01;2020-06-30;3.02;Custo dos Bens e/ou Serviços Vendidos;-1110886.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-06-30;3.02;Custo dos Bens e/ou Serviços Vendidos;-3648712.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2021-06-30;3.02;Custo dos Bens e/ou Serviços Vendidos;-1821842.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-06-30;3.03;Resultado Bruto;-252152.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-04-01;2020-06-30;3.03;Resultado Bruto;-709294.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-06-30;3.03;Resultado Bruto;-120524.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2021-06-30;3.03;Resultado Bruto;-119476.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-06-30;3.04;Despesas/Receitas Operacionais;-612898.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-04-01;2020-06-30;3.04;Despesas/Receitas Operacionais;-314555.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-06-30;3.04;Despesas/Receitas Operacionais;-527332.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2021-06-30;3.04;Despesas/Receitas Operacionais;-282440.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-06-30;3.04.01;Despesas com Vendas;-177485.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-04-01;2020-06-30;3.04.01;Despesas com Vendas;-60722.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-06-30;3.04.01;Despesas com Vendas;-170272.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2021-06-30;3.04.01;Despesas com Vendas;-79569.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-06-30;3.04.02;Despesas Gerais e Administrativas;-435413.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-04-01;2020-06-30;3.04.02;Despesas Gerais e Administrativas;-253833.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-06-30;3.04.02;Despesas Gerais e Administrativas;-168286.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2021-06-30;3.04.02;Despesas Gerais e Administrativas;-98272.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-06-30;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-04-01;2020-06-30;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-06-30;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2021-06-30;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-06-30;3.04.04;Outras Receitas Operacionais;0.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-04-01;2020-06-30;3.04.04;Outras Receitas Operacionais;0.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-06-30;3.04.04;Outras Receitas Operacionais;0.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2021-06-30;3.04.04;Outras Receitas Operacionais;0.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-06-30;3.04.05;Outras Despesas Operacionais;0.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-04-01;2020-06-30;3.04.05;Outras Despesas Operacionais;0.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-06-30;3.04.05;Outras Despesas Operacionais;-188774.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-04-01;2021-06-30;3.04.05;Outras Despesas Operacionais;-104599.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-06-30;3.04.06;Resultado de Equivalência Patrimonial;0.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2020-04-01;2020-06-30;3.04.06;Resultado de Equivalência Patrimonial;0.0;S
09.305.994/0001-29;2021-06-30;1;AZUL S.A.;24112;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2021-01-01;2021-06-30;3.04.06;Resultado de Equivalência Patrimonial;0.0;S
