CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2;Passivo Total;2573246.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2;Passivo Total;3124335.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01;Passivo Circulante;307825.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01;Passivo Circulante;526881.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.01;Obrigações Sociais e Trabalhistas;2344.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.01;Obrigações Sociais e Trabalhistas;9280.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.01.01;Obrigações Sociais;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.01.01;Obrigações Sociais;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.01.02;Obrigações Trabalhistas;2344.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.01.02;Obrigações Trabalhistas;9280.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.02;Fornecedores;10651.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.02;Fornecedores;22865.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.02.01;Fornecedores Nacionais;10604.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.02.01;Fornecedores Nacionais;5885.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.02.02;Fornecedores Estrangeiros;47.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.02.02;Fornecedores Estrangeiros;16980.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.03;Obrigações Fiscais;506.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.03;Obrigações Fiscais;2980.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.03.01;Obrigações Fiscais Federais;490.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.03.01;Obrigações Fiscais Federais;2978.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.03.01.03;Obrigações Fiscais Federais;490.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.03.01.03;Obrigações Fiscais Federais;2978.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.03.02;Obrigações Fiscais Estaduais;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.03.02;Obrigações Fiscais Estaduais;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.03.03;Obrigações Fiscais Municipais;16.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.03.03;Obrigações Fiscais Municipais;2.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.04;Empréstimos e Financiamentos;216388.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.04;Empréstimos e Financiamentos;428538.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.04.01;Empréstimos e Financiamentos;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.04.01;Empréstimos e Financiamentos;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.04.01.01;Em Moeda Nacional;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.04.01.01;Em Moeda Nacional;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.04.01.02;Em Moeda Estrangeira;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.04.01.02;Em Moeda Estrangeira;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.04.02;Debêntures;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.04.02;Debêntures;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.04.03;Financiamento por Arrendamento;216388.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.04.03;Financiamento por Arrendamento;428538.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.05;Outras Obrigações;77936.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05;Outras Obrigações;63218.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.05.01;Passivos com Partes Relacionadas;52129.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.01;Passivos com Partes Relacionadas;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.05.01.01;Débitos com Coligadas;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.01.01;Débitos com Coligadas;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.05.01.02;Débitos com Controladas;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.01.02;Débitos com Controladas;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.05.01.03;Débitos com Controladores;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.01.03;Débitos com Controladores;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.05.01.04;Débitos com Outras Partes Relacionadas;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.01.04;Débitos com Outras Partes Relacionadas;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.05.02;Outros;25807.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.02;Outros;63218.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.05.02.01;Dividendos e JCP a Pagar;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.02.01;Dividendos e JCP a Pagar;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.05.02.04;Outros passivos circulantes;0.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.02.04;Outros passivos circulantes;0.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.05.02.05;Instrumentos de dívida conversíveis;25807.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.05.02.05;Instrumentos de dívida conversíveis;63218.0;N
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.06;Provisões;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.06;Provisões;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2023-12-31;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0.0;S
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2024-03-31;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0.0;S
