CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;4.01;Lucro Líquido do Período;-2786626.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;4.01;Lucro Líquido do Período;2667048.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;4.03;Resultado Abrangente do Período;-2786626.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;4.03;Resultado Abrangente do Período;2667048.0;S
09.305.994/0001-29;2022-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-01-01;2021-06-30;4.01;Lucro Líquido do Período;-1624575.0;S
09.305.994/0001-29;2022-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-04-01;2021-06-30;4.01;Lucro Líquido do Período;1162053.0;S
09.305.994/0001-29;2022-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-01-01;2022-06-30;4.01;Lucro Líquido do Período;186576.0;S
09.305.994/0001-29;2022-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-04-01;2022-06-30;4.01;Lucro Líquido do Período;-2480471.0;S
09.305.994/0001-29;2022-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-01-01;2021-06-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2022-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-04-01;2021-06-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2022-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-01-01;2022-06-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2022-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-04-01;2022-06-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2022-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-01-01;2021-06-30;4.03;Resultado Abrangente do Período;-1624575.0;S
09.305.994/0001-29;2022-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-04-01;2021-06-30;4.03;Resultado Abrangente do Período;1162053.0;S
09.305.994/0001-29;2022-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-01-01;2022-06-30;4.03;Resultado Abrangente do Período;186576.0;S
09.305.994/0001-29;2022-06-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-04-01;2022-06-30;4.03;Resultado Abrangente do Período;-2480471.0;S
09.305.994/0001-29;2022-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-01-01;2021-09-30;4.01;Lucro Líquido do Período;-3820871.0;S
09.305.994/0001-29;2022-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-07-01;2021-09-30;4.01;Lucro Líquido do Período;-2196294.0;S
09.305.994/0001-29;2022-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-01-01;2022-09-30;4.01;Lucro Líquido do Período;-1828420.0;S
09.305.994/0001-29;2022-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-07-01;2022-09-30;4.01;Lucro Líquido do Período;-2014994.0;S
09.305.994/0001-29;2022-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-01-01;2021-09-30;4.02;Outros Resultados Abrangentes;0.0;S
09.305.994/0001-29;2022-09-30;1;AZUL S.A.;24112;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-07-01;2021-09-30;4.02;Outros Resultados Abrangentes;0.0;S
